Authors
"('Pongpirul K.', 'Lungren M.P.')"
"('Pratumsiri T.', 'Janpugdee P.')"
"('Phuakpunk K.', 'Chalermsinsuwan B.')"
"('Phuakpunk K.', 'Putivisutisak S.')"
"('Phuakpunk K.', 'Assabumrungrat S.')"
"('Chalermsinsuwan B.', 'Putivisutisak S.')"
"('Chalermsinsuwan B.', 'Assabumrungrat S.')"
"('Putivisutisak S.', 'Assabumrungrat S.')"
"('Saengkaew J.', 'Le D.')"
"('Saengkaew J.', 'Samart C.')"
"('Saengkaew J.', 'Sawada H.')"
"('Saengkaew J.', 'Nishida M.')"
"('Saengkaew J.', 'Chanlek N.')"
"('Saengkaew J.', 'Kongparakul S.')"
"('Saengkaew J.', 'Kiatkamjornwong S.')"
"('Le D.', 'Samart C.')"
"('Le D.', 'Sawada H.')"
"('Le D.', 'Nishida M.')"
"('Le D.', 'Chanlek N.')"
"('Le D.', 'Kongparakul S.')"
"('Le D.', 'Kiatkamjornwong S.')"
"('Samart C.', 'Sawada H.')"
"('Samart C.', 'Nishida M.')"
"('Samart C.', 'Chanlek N.')"
"('Samart C.', 'Kongparakul S.')"
"('Samart C.', 'Kiatkamjornwong S.')"
"('Sawada H.', 'Nishida M.')"
"('Sawada H.', 'Chanlek N.')"
"('Sawada H.', 'Kongparakul S.')"
"('Sawada H.', 'Kiatkamjornwong S.')"
"('Nishida M.', 'Chanlek N.')"
"('Nishida M.', 'Kongparakul S.')"
"('Nishida M.', 'Kiatkamjornwong S.')"
"('Chanlek N.', 'Kongparakul S.')"
"('Chanlek N.', 'Kiatkamjornwong S.')"
"('Kongparakul S.', 'Kiatkamjornwong S.')"
"('Teengam P.', 'Siangproh W.')"
"('Teengam P.', 'Tuantranont A.')"
"('Teengam P.', 'Vilaivan T.')"
"('Teengam P.', 'Chailapakul O.')"
"('Teengam P.', 'Henry C.S.')"
"('Siangproh W.', 'Tuantranont A.')"
"('Siangproh W.', 'Vilaivan T.')"
"('Siangproh W.', 'Chailapakul O.')"
"('Siangproh W.', 'Henry C.S.')"
"('Tuantranont A.', 'Vilaivan T.')"
"('Tuantranont A.', 'Chailapakul O.')"
"('Tuantranont A.', 'Henry C.S.')"
"('Vilaivan T.', 'Chailapakul O.')"
"('Vilaivan T.', 'Henry C.S.')"
"('Chailapakul O.', 'Henry C.S.')"
"('Chongsrisawat V.', 'Damrongphol P.')"
"('Chongsrisawat V.', 'Ittiwut C.')"
